0.08493151	3600	13.75
0.08493151	3800	32.1
0.08493151	3975	67.65
0.08493151	4075	25.55
0.08493151	4250	3.15
0.18082192	3400	25.2
0.18082192	3700	54.5
0.18082192	3925	141.8
0.18082192	4200	25.5
0.18082192	4300	11.9
0.25753425	3200	28.5
0.25753425	3700	80.6
0.25753425	3950	154.25
0.25753425	4200	43.9
0.25753425	4400	12.9
0.33424658	3200	40.85
0.33424658	3600	85.35
0.33424658	3925	194.8
0.33424658	4250	48.55
0.33424658	4400	22.15
0.43013699	3100	48.55
0.43013699	3500	93.85
0.43013699	4000	176.5
0.43013699	4250	68.55
0.43013699	4500	22.3
0.50684932	3100	59.15
0.50684932	3500	110.45
0.50684932	3900	255.5
0.50684932	4300	67.55
0.50684932	4600	19.6
0.75616438	2900	68
0.75616438	3300	121.45
0.75616438	3900	307
0.75616438	4300	106.9
0.75616438	4600	40.85
1.00547945	2700	70.3
1.00547945	3300	157.75
1.00547945	3850	381.95
1.00547945	4475	92.1
1.00547945	4800	39.15
